Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.8333385593, 2.38663240207;"{""type"": ""Point"", ""coordinates"": [2.386632402066985, 48.83333855925167]}";45234;COUR SAINT-EMILION;Cour St-Émilion;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;603678.509;125874.511
48.8153075321, 2.29707779696;"{""type"": ""Point"", ""coordinates"": [2.297077796960862, 48.81530753209955]}";44069;MALAKOFF-RUE ETIENNE DOLET;Malakoff-Rue Étienne Dolet;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;597103.113;123868.978
48.8277046117, 2.30534093081;"{""type"": ""Point"", ""coordinates"": [2.305340930810601, 48.82770461172181]}";44526;PORTE DE VANVES;Porte de Vanves;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;0;0;0;0;RATP;0;1;597710.52;125247.258
48.8796347607, 2.32702220089;"{""type"": ""Point"", ""coordinates"": [2.327022200889503, 48.879634760656806]}";43814;LIEGE;Liège;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;599303.118;131021.5
48.9119648979, 2.33392489048;"{""type"": ""Point"", ""coordinates"": [2.333924890479715, 48.911964897880885]}";43969;MAIRIE DE SAINT-OUEN;Mairie de Saint-Ouen;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;599809.529;134616.59
48.9195730722, 2.34330592781;"{""type"": ""Point"", ""coordinates"": [2.343305927806373, 48.9195730722451]}";42447;CARREFOUR PLEYEL;Carrefour Pleyel;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;600497.046;135462.642
48.9299358906, 2.35603579553;"{""type"": ""Point"", ""coordinates"": [2.356035795526451, 48.92993589058523]}";44861;SAINT-DENIS-PORTE DE PARIS;St-Denis-Porte de Paris;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;0;T8;0;0;RATP;1;1;601429.653;136615.155
48.8821891376, 2.70601418112;"{""type"": ""Point"", ""coordinates"": [2.70601418111842, 48.88218913760796]}";43148;LAGNY-THORIGNY;LAGNY-THORIGNY;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;627098.064;131371.852
48.8392192991, 2.63321091751;"{""type"": ""Point"", ""coordinates"": [2.633210917511178, 48.83921929906486]}";43152;LOGNES;LOGNES;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;621777.576;126570.041
48.9508199876, 3.12490902211;"{""type"": ""Point"", ""coordinates"": [3.124909022112703, 48.9508199875758]}";43246;LA FERTE-SOUS-JOUARRE;LA FERTÉ-SOUS-JOUARRE;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;657738.965;139239.195
